id,created,createdBy,updated,updatedBy,name,description,status,subCategoriesCount,questionCount,nameAlias
44,"2024-08-12T12:36:55.000Z",3931,"2024-08-12T13:10:37.000Z",0,"Document & Content Management","Document & Content Management","Active",1,3,""
45,"2024-08-12T12:37:38.000Z",3931,"2024-08-12T13:10:37.000Z",0,"Reference & Master Data Management","Reference & Master Data Management","Active",1,2,""
46,"2024-08-12T12:38:17.000Z",3931,"2024-08-13T04:59:49.000Z",0,"Data Warehousing & Business Intelligence","Data Warehousing & Business Intelligence","Active",1,6,""
47,"2024-08-12T12:38:56.000Z",3931,"2024-08-12T13:10:44.000Z",0,"Metadata Management","Metadata Management","Active",1,5,""
48,"2024-08-12T12:40:03.000Z",3931,"2024-08-12T13:10:50.000Z",0,"Data Quality","Data Quality","Active",1,7,""
49,"2024-08-16T10:15:56.000Z",3888,"2024-08-29T14:22:06.000Z",0,"test level","test level","Active",-1,25,"test level"
50,"2024-08-19T05:25:15.000Z",3930,"2024-08-27T02:37:24.000Z",3931,"Strategy & Leadership","Strategy & Leadership","Active",3,3,"Strategy & Leadership"
51,"2024-08-19T05:25:18.000Z",3931,"2024-08-19T05:57:36.000Z",0,"Governance & Ethics","Governance & Ethics","Active",3,3,"Governance & Ethics"
52,"2024-08-19T05:26:46.000Z",3931,"2024-08-19T05:57:36.000Z",0,"Culture & Change Management","Culture & Change Management","Active",3,3,"Culture & Change Management"
53,"2024-08-19T05:27:24.000Z",3930,"2024-08-19T05:57:29.000Z",0,"Data Management & Infrastructure","Data Management & Infrastructure","Active",3,3,"Data Management & Infrastructure"
54,"2024-08-19T05:32:36.000Z",3929,"2024-08-19T05:57:29.000Z",0,"Talent & Skills","Talent & Skills","Active",3,3,"Talent & Skills"
55,"2024-08-19T05:35:53.000Z",3929,"2024-08-27T02:41:29.000Z",3931,"Technology & Tools","Technology & Tools","Active",3,3,"Technology & Tools"
56,"2024-08-19T09:44:31.000Z",3931,"2024-08-19T09:56:58.000Z",0,"Strategy and Vision","Strategy and Vision","Active",1,3,"Strategy and Vision"
57,"2024-08-19T09:44:43.000Z",3931,"2024-08-19T09:56:58.000Z",0,"Governance and Compliance","Governance and Compliance","Active",1,3,"Governance and Compliance"
58,"2024-08-19T09:44:53.000Z",3931,"2024-08-19T09:56:58.000Z",0,"Skills and Training","Skills and Training","Active",1,3,"Skills and Training"
59,"2024-08-19T09:45:04.000Z",3931,"2024-08-19T09:57:04.000Z",0,"Integration and Interoperability","Integration and Interoperability","Active",1,4,"Integration and Interoperability"
60,"2024-08-19T09:45:15.000Z",3931,"2024-08-19T09:57:05.000Z",0,"Innovation and Agility","Innovation and Agility","Active",1,3,"Innovation and Agility"
61,"2024-08-19T09:45:26.000Z",3931,"2024-08-19T09:57:05.000Z",0,"User Adoption and Engagement","User Adoption and Engagement","Active",1,3,"User Adoption and Engagement"
62,"2024-08-22T11:34:02.000Z",0,"2024-08-22T11:41:23.000Z",0,"Consumer Behavior","Consumer Behavior","Active",1,5,""
63,"2024-08-22T11:34:11.000Z",0,"2024-08-22T11:41:32.000Z",0,"Entertainment","Entertainment","Active",1,4,""
64,"2024-08-22T11:34:20.000Z",0,"2024-08-22T11:41:31.000Z",0,"Health and Wellness","Health and Wellness","Active",1,5,""
65,"2024-08-22T11:34:28.000Z",0,"2024-08-22T11:41:23.000Z",0,"Lifestyle Preferences","Lifestyle Preferences","Active",1,5,""
